title,mode,level,id,thumbnail
Paradoxx,Single,26,ZGV1a3NXdm5kRG40am1vRU96V3ZzUT09,https://phoenix.piugame.com/data/song_img/2da8be03841200479a4c23e8b60aeb70.png?v=20241031113041
1950,Single,25,RElTb24xTVoxVEdPbXphK1NWWHZKdz09,https://phoenix.piugame.com/data/song_img/fba81856a34b5447cd12dc4aaf87d37a.png?v=20241031113041
Appassionata,Single,25,UU5YTFNUdzJaNFFSSDJTaWxBM3Jydz09,https://phoenix.piugame.com/data/song_img/8b8164ae45412112841142145c7067d3.png?v=20241031113041
Brown Sky,Single,25,ZXBibENjRlBYcWtEOEdNUFdqeUNOQT09,https://phoenix.piugame.com/data/song_img/7abbf7a6be02f94ec16598a3b841a139.png?v=20241031113041
ERRORCODE: 0,Single,25,TSt6aytCK3RMTE5aa1lJcmtIYXN1QT09,https://phoenix.piugame.com/data/song_img/f376da01e82ef98a2020800e9072fe78.png?v=20241031113041
Hymn of Golden Glory,Single,25,bmhGMmlTV05zd1JyRHBwRmkxejZoUT09,https://phoenix.piugame.com/data/song_img/5713ab6fbd6510744918896c7f949bce.png?v=20241031113041
KUGUTSU,Single,25,RmN2TGxvNE0wVkU1ckt1M0lKTkpJZz09,https://phoenix.piugame.com/data/song_img/6b61fae3e35139975deb1199f1ad550a.png?v=20241031113041
Neo Catharsis,Single,25,U09TbllHalhtT1pobEF6Z0lHYzdxdz09,https://phoenix.piugame.com/data/song_img/14cd5d7a3df1f12b82bccec2faea2705.png?v=20241031113041
Shub Sothoth,Single,25,MXgwck50VDVUL3FUdHBtK0luREhjdz09,https://phoenix.piugame.com/data/song_img/8228790cbf25eafb814aa724adabd93e.png?v=20241031113041
Ultimatum,Single,25,eW1FZm5HRUhJZytLNC9wc0Q4U0oxZz09,https://phoenix.piugame.com/data/song_img/54a6474ee494e9b1748e1edd3affee0b.png?v=20241031113041
Vacuum Cleaner,Single,25,R2JBb1pIbnhmdE53T21Tbk5HZm55QT09,https://phoenix.piugame.com/data/song_img/5bd3e6508c6ef691a52d8e12149c4b93.png?v=20241031113041
* this game does not exist *,Single,24,SG0vYVlGRUFBdVBZdmJsZ29pRk9YUT09,https://phoenix.piugame.com/data/song_img/89f84e8cf3b3b99a00a93bf032100f8e.png?v=20241031113041
Achluoias,Single,24,ajllOUVjeDk2YTVWcDJadkxtbXlkdz09,https://phoenix.piugame.com/data/song_img/08b06c0759e9193b9cb7cfb9ee2a67a6.png?v=20241031113041
Aragami,Single,24,YlQ2eXZqcElLN3MrRTBZeUI0OEFjQT09,https://phoenix.piugame.com/data/song_img/268d0e5526dc475ccf8ca90a60fcae68.png?v=20241031113041
BEMERA,Single,24,T2p6WmdPRDc2V29rVGZKNFkzV2RVdz09,https://phoenix.piugame.com/data/song_img/d47a7126d4fdb1969c576f377b8fb480.png?v=20241031113041
CHAOS AGAIN,Single,24,TjZQL3NQdDBoY21YQmVSR1FyU21Ldz09,https://phoenix.piugame.com/data/song_img/df2bb22858f58b4cf088ce1866854f2d.png?v=20241031113041
ESCAPE,Single,24,U1JOeGp4SnRzR3BPbnUrRURqaDh5QT09,https://phoenix.piugame.com/data/song_img/057e2df0bf02e2fcb287bb24644d0cb4.png?v=20241031113041
Fracture Temporelle,Single,24,SVJ2c1VFMzFXSlZQcE1DdHE4VWgydz09,https://phoenix.piugame.com/data/song_img/4f176d4f60c502692f8e1b0715e495e2.png?v=20241031113041
